originalTitle,Year,Count,time,rate,isAdult,genres,Rating,Writer
Studio 666,2022,165,106,1.56,0.0,"Comedy,Horror,Music",5.7,Dave Grohl
Babylon,2022,165,188,0.88,0.0,"Comedy,Drama,History",7.5,Damien Chazelle
District 9,2009,165,112,1.47,0.0,"Action,Sci-Fi,Thriller",7.9,Neill Blomkamp
Gang Related,1997,165,110,1.5,0.0,"Action,Crime,Drama",6.4,Jim Kouf
Wrath of Man,2021,165,119,1.39,0.0,"Action,Crime,Thriller",7.1,Nicolas Boukhrief
Boogie Nights,1997,164,155,1.06,0.0,Drama,7.9,Paul Thomas Anderson
Crank: High Voltage,2009,164,96,1.71,0.0,"Action,Crime,Thriller",6.1,Mark Neveldine
Blood In Blood Out[e],1993,163,190,0.86,,,,
The 51st State [f],2001,163,92,1.77,,,,
21 & Over,2013,162,93,1.74,0.0,Comedy,5.8,Jon Lucas
Everybody Wants Some!!,2016,161,116,1.39,0.0,Comedy,6.9,Richard Linklater
The Grey,2012,161,117,1.38,,,,
Lone Survivor,2013,161,121,1.33,0.0,"Action,Biography,Drama",7.5,Peter Berg
Dirty Grandpa,2016,160,102,1.57,0.0,Comedy,5.9,John Phillips
Good Time,2017,160,101,1.58,0.0,"Crime,Drama,Thriller",7.3,Ronald Bronstein
Sausage Party,2016,160,89,1.8,0.0,"Adventure,Animation,Comedy",6.1,Kyle Hunter
Assassination Nation,2018,160,108,1.48,0.0,"Action,Comedy,Crime",6.0,Sam Levinson
Sorry to Bother You,2018,160,112,1.43,0.0,"Comedy,Drama,Fantasy",6.9,Boots Riley
Platoon,1986,159,120,1.32,0.0,"Drama,War",8.1,Oliver Stone
Snatch,2000,159,102,1.56,0.0,"Comedy,Crime",8.2,Guy Ritchie
The Heat,2013,158,117,1.35,0.0,"Action,Comedy,Crime",6.6,Katie Dippold
Blue Collar,1978,158,114,1.39,0.0,"Crime,Drama",7.5,Paul Schrader
Colors,1988,157,120,1.31,0.0,"Action,Crime,Drama",6.7,Michael Schiffer
Dead Presidents,1995,157,119,1.32,0.0,"Action,Crime,Drama",6.9,Allen Hughes
Copshop,2021,157,107,1.47,0.0,"Action,Thriller",6.2,Kurt McLeod
Magic Mike,2012,156,110,1.42,0.0,"Comedy,Drama",6.1,Reid Carolin
That's My Boy,2012,156,114,1.37,0.0,Comedy,5.5,David Caspe
Intermission,2003,155,102,1.52,0.0,"Comedy,Crime,Drama",6.8,Mark O'Rowe
Legend,2015,155,131,1.18,0.0,Horror,3.5,Lauren De Normandie
The Town,2010,155,124,1.25,0.0,"Crime,Drama,Thriller",7.5,Peter Craig
The Blair Witch Project,1999,154,81,1.9,0.0,"Horror,Mystery",6.5,Daniel Myrick
Contraband,2012,154,111,1.39,0.0,"Action,Crime,Drama",6.4,Aaron Guzikowski
Funny People,2009,154,146,1.05,0.0,"Comedy,Drama",6.3,Judd Apatow
Good Will Hunting,1997,154,126,1.22,0.0,"Drama,Romance",8.3,Matt Damon
Notorious,2009,154,123,1.25,0.0,"Biography,Crime,Drama",6.7,Reggie Rock Bythewood
Bad Boys II,2003,153,147,1.04,0.0,"Action,Comedy,Crime",6.6,George Gallo
Boiler Room,2000,153,120,1.27,0.0,"Crime,Drama,Thriller",7.0,Ben Younger
All About the Benjamins,2002,151,98,1.54,0.0,"Action,Comedy,Crime",5.8,Ronald Lang
Ash Wednesday,2002,151,99,1.53,0.0,"Crime,Drama",5.8,Edward Burns
